CD_CLIENTE,CIDADE,DS_SEGMENTO,DS_SUBSEGMENTO,UF,VL_TOTAL_CONTRATO,DT_ASSINATURA_CONTRATO,MRR_12M,QTD_CONTRATACOES_12M,VLR_CONTRATACOES_12M,NPS_MEDIO
TEZCRS,SANTANADEPARNAIBA,MANUFATURA,PAPEL & CELULOSE,SP,"86,5069769170528",2013-05-08,106.031334,,,
TDCCKZ,MATADESAOJOAO,SERVICOS,VIAGENS,BA,"2,90486544123255",2021-11-09,,,,
TDCHC6,MANAUS,SERVICOS,VIAGENS,AM,"75,7997522009612",2024-08-30,,,,
TEZCXN,CAXIASDOSUL,MANUFATURA,METAL-MECANICO & PLASTICO,RS,"135,658477262771",2013-05-24,1821.202084,3.0,22556.6416829044,
TDCG7F,MOGIDASCRUZES,MANUFATURA,PAPEL & CELULOSE,SP,"154,403477266325",2012-06-18,,,,
TDCD7V,TANGARADASERRA,VAREJO,DROGARIA,MT,"3,78347163112778",2021-06-07,,,,
TEZDTC,BRASILIA,MANUFATURA,PAPEL & CELULOSE,DF,"2500,9756407523",2012-09-12,1604.985987,1.0,528.853664599042,5.0
TDCCD0,MONTEALTO,SAUDE,CENTROS CLINICOS,SP,"80,5963534577576",2022-12-01,,,,
TCBKOQ,BRASILIA,SERVICOS,VIAGENS,DF,"306,578910127652",2017-09-18,,,,
TDCH0J,RECIFE,DISTRIBUICAO,ATACADISTA E DISTRIBUIDOR,PE,"1,88753195819597",2023-11-09,,,,
TEZDU6,RIODEJANEIRO,LOGISTICA,TRANSPORTADOR,RJ,"7,19279995651071",2020-05-20,834.395786,,,10.0
TDCCH1,CURITIBA,EDUCACIONAL,BASICO,PR,"36,3465508030342",2017-08-14,,,,
TDCCQ1,JABOATAODOSGUARARAPES,SERVICOS,PROVEDOR SERVICOS,PE,"1,93377438924309",2017-09-25,,,,
TC7805,SANTAMARIADOPARA,VAREJO,MODA,PA,"117,064816124462",2014-02-14,110.633614,,,10.0
