CODIGO_ORGANIZACAO,QTD_CHAMADOS,CHAMADOS_ABERTOS,TEMPO_MEDIO_RES
T08807,14,0,0.0
T08810,389,0,0.0
T08822,37,0,0.0
T08855,4,0,0.0
T08881,209,0,0.0
T08886,386,0,0.0
T08909,91,0,0.0
T08930,18,0,0.0
T08938,16,0,0.0
T08946,56,0,0.0
T08976,325,0,0.0
T09016,13,0,0.0
T09057,1,0,0.0
T09068,18,0,0.0
T09092,181,0,0.0
T09104,54,0,0.0
T09105,22,0,0.0
T09128,8,0,0.0
T09129,36,0,0.0
T09163,310,0,0.0
T09168,59,0,0.0
T09170,175,0,0.0
T09188,47,0,0.0
T09190,318,0,0.0
T09248,102,0,0.0
T09401,8,0,0.0
T09408,383,0,0.0
T09428,144,0,0.0
T09440,195,0,0.0
T09444,77,0,0.0
T09450,63,0,0.0
T09466,193,0,0.0
T09481,25,0,0.0
T09487,18,0,0.0
T09502,29,0,0.0
T09514,442,0,0.0
T09519,15,0,0.0
T09580,9,0,0.0
T09590,611,0,0.0
T09624,37,0,0.0
T09633,3,0,0.0
T09656,88,0,0.0
T09724,42,0,0.0
T09736,21,0,0.0
T09755,152,0,0.0
T09800,47,0,0.0
T09817,73,0,0.0
T09845,157,0,0.0
T09851,16,0,0.0
T09860,289,0,0.0
T09869,24,0,0.0
T09935,169,0,0.0
T09969,124,0,0.0
T09978,19,0,0.0
T09979,299,0,0.0
T09981,334,0,0.0
T10010,45,0,0.0
T10019,488,0,0.0
T10022,303,0,0.0
T10041,143,0,0.0
T10047,45,0,0.0
T10084,92,0,0.0
T10110,20,0,0.0
T10121,40,0,0.0
T10145,145,0,0.0
T10159,14,0,0.0
T10179,35,0,0.0
T10182,5,0,0.0
T10199,40,0,0.0
T10216,236,0,0.0
T10219,214,0,0.0
T10247,8,0,0.0
T10271,19,0,0.0
T10289,285,0,0.0
T10391,72,0,0.0
T10392,27,0,0.0
T10402,29,0,0.0
T10406,49,0,0.0
T10413,105,0,0.0
T10415,301,0,0.0
T10471,276,0,0.0
T10494,242,0,0.0
T10506,29,0,0.0
T10560,3,0,0.0
T10570,118,0,0.0
T10661,21,0,0.0
T10679,36,0,0.0
T10680,89,0,0.0
T10698,167,0,0.0
T10703,130,0,0.0
T10752,18,0,0.0
T10765,216,0,0.0
T10859,276,0,0.0
T10869,48,0,0.0
T10872,77,0,0.0
T10881,505,0,0.0
T10944,377,0,0.0
T10952,89,0,0.0
T10967,587,0,0.0
T10981,7,0,0.0
T10982,13,0,0.0
T10983,22,0,0.0
T11026,7,0,0.0
T11036,268,0,0.0
T11037,908,0,0.0
T11071,11,0,0.0
T11082,62,0,0.0
T11094,12,0,0.0
T11117,44,0,0.0
T11157,27,0,0.0
T11161,20,0,0.0
T11180,111,0,0.0
T11271,82,0,0.0
T11287,95,0,0.0
T11293,161,0,0.0
T11318,651,0,0.0
T11336,7,0,0.0
T11382,146,0,0.0
T11387,46,0,0.0
T11432,365,0,0.0
T11454,342,0,0.0
T11510,36,0,0.0
T11527,29,0,0.0
T11561,30,0,0.0
T11564,166,0,0.0
T11577,9,0,0.0
T11623,367,0,0.0
T11677,46,0,0.0
T11687,10,0,0.0
T11727,116,0,0.0
T11754,121,0,0.0
T11806,82,0,0.0
T11855,83,0,0.0
T11871,122,0,0.0
T11906,776,0,0.0
T11910,10,0,0.0
T11933,899,0,0.0
T11950,336,0,0.0
T12016,28,0,0.0
T12061,42,0,0.0
T12062,1133,0,0.0
T12096,100,0,0.0
T12098,31,0,0.0
T12132,67,0,0.0
T12183,318,0,0.0
T12230,29,0,0.0
T12248,2,0,0.0
T12276,98,0,0.0
T12280,58,0,0.0
T12357,30,0,0.0
T12368,123,0,0.0
T12377,347,0,0.0
T12393,16,0,0.0
T12395,56,0,0.0
T12416,94,0,0.0
T12450,12,0,0.0
T12464,19,0,0.0
T12467,93,0,0.0
T12505,4,0,0.0
T12530,47,0,0.0
T12552,24,0,0.0
T12562,326,0,0.0
T12582,10,0,0.0
T12595,10,0,0.0
T12653,371,0,0.0
T12690,269,0,0.0
T12712,42,0,0.0
T12757,177,0,0.0
T12817,9,0,0.0
T12825,205,0,0.0
T12864,9,0,0.0
T12870,124,0,0.0
T12884,80,0,0.0
T12915,209,0,0.0
T12953,889,0,0.0
T12969,78,0,0.0
T12991,5,0,0.0
T13017,519,0,0.0
T13019,11,0,0.0
T13023,151,0,0.0
T13046,3,0,0.0
T13047,132,0,0.0
T13062,5,0,0.0
T13065,140,0,0.0
T13109,9,0,0.0
T13131,13,0,0.0
T13275,14,0,0.0
T13320,207,0,0.0
T13347,549,0,0.0
T13388,12,0,0.0
T13454,11,0,0.0
T13468,221,0,0.0
T13481,217,0,0.0
T13485,90,0,0.0
T13614,8,0,0.0
T13629,604,0,0.0
T13630,65,0,0.0
T13640,45,0,0.0
T13659,115,0,0.0
T13661,110,0,0.0
T13666,282,0,0.0
T13697,87,0,0.0
T13724,150,0,0.0
T13777,68,0,0.0
T13780,3,0,0.0
T13796,94,0,0.0
T13825,8,0,0.0
T13830,18,0,0.0
T13833,9,0,0.0
T13852,383,0,0.0
T13857,4,0,0.0
T13864,24,0,0.0
T13875,351,0,0.0
T13918,169,0,0.0
T13934,22,0,0.0
T13935,442,0,0.0
T13937,255,0,0.0
T13941,70,0,0.0
T14012,70,0,0.0
T14063,191,0,0.0
T14072,70,0,0.0
T14081,752,0,0.0
T14119,803,0,0.0
T14167,172,0,0.0
T14188,10,0,0.0
T14189,76,0,0.0
T14190,225,0,0.0
T14228,294,0,0.0
T14245,137,0,0.0
T14264,71,0,0.0
T14333,308,0,0.0
T14354,5,0,0.0
T14390,147,0,0.0
T14398,209,0,0.0
T14431,203,0,0.0
T14439,173,0,0.0
T14449,666,0,0.0
T14466,543,0,0.0
T14472,359,0,0.0
T14475,74,0,0.0
T14511,70,0,0.0
T14535,66,0,0.0
T14539,377,0,0.0
T14588,245,0,0.0
T14596,3,0,0.0
T14622,143,0,0.0
T14650,159,0,0.0
T14662,2,0,0.0
T14705,51,0,0.0
T14744,405,0,0.0
T14749,129,0,0.0
T14772,76,0,0.0
T14841,14,0,0.0
T14847,5,0,0.0
T14861,203,0,0.0
T14917,29,0,0.0
T14930,26,0,0.0
T14950,3,0,0.0
T15003,18,0,0.0
T15011,255,0,0.0
T15034,152,0,0.0
T15035,144,0,0.0
T15045,28,0,0.0
T15055,4,0,0.0
T15061,159,0,0.0
T15062,169,0,0.0
T15074,32,0,0.0
T15080,93,0,0.0
T15086,32,0,0.0
T15122,99,0,0.0
T15127,15,0,0.0
T15135,365,0,0.0
T15138,136,0,0.0
T15140,51,0,0.0
T15144,3,0,0.0
T15145,525,0,0.0
T15159,692,0,0.0
T15162,4,0,0.0
T15169,11,0,0.0
T15172,34,0,0.0
T15173,35,0,0.0
T15176,59,0,0.0
T15225,35,0,0.0
T15232,52,0,0.0
T15283,120,0,0.0
T15289,37,0,0.0
T15314,17,0,0.0
T15319,64,0,0.0
T15331,260,0,0.0
T15382,2,0,0.0
T15393,146,0,0.0
T15403,1,0,0.0
T15411,37,0,0.0
T15456,35,0,0.0
T15467,332,0,0.0
T15510,65,0,0.0
T15526,74,0,0.0
T15532,1,0,0.0
T15550,62,0,0.0
T15560,4,0,0.0
T15561,14,0,0.0
T15583,622,0,0.0
T15633,212,0,0.0
T15644,153,0,0.0
T15648,9,0,0.0
T15650,384,0,0.0
T15669,55,0,0.0
T15688,833,0,0.0
T15691,107,0,0.0
T15697,255,0,0.0
T15732,2,0,0.0
T15747,7,0,0.0
T15753,94,0,0.0
T15780,32,0,0.0
T15822,9,0,0.0
T15837,12,0,0.0
T15841,15,0,0.0
T15854,303,0,0.0
T15860,49,0,0.0
T15865,373,0,0.0
T15868,102,0,0.0
T15878,66,0,0.0
T15893,86,0,0.0
T15900,48,0,0.0
T15927,68,0,0.0
T15954,191,0,0.0
T15970,57,0,0.0
T15971,7,0,0.0
T15978,331,0,0.0
T15998,18,0,0.0
T16015,47,0,0.0
T16016,41,0,0.0
T16055,21,0,0.0
T16062,55,0,0.0
T16072,347,0,0.0
T16103,109,0,0.0
T16127,22,0,0.0
T16132,114,0,0.0
T16167,4,0,0.0
T16194,95,0,0.0
T16208,35,0,0.0
T16210,36,0,0.0
T16221,573,0,0.0
T16230,4,0,0.0
T16235,290,0,0.0
T16236,135,0,0.0
T16237,147,0,0.0
T16250,21,0,0.0
T16261,1,0,0.0
T16268,19,0,0.0
T16279,196,0,0.0
T16284,23,0,0.0
T16313,50,0,0.0
T16326,104,0,0.0
T16333,154,0,0.0
T16397,24,0,0.0
T16411,542,0,0.0
T16428,3,0,0.0
T16438,16,0,0.0
T16447,42,0,0.0
T16451,374,0,0.0
T16472,398,0,0.0
T16514,196,0,0.0
T16523,4,0,0.0
T16528,198,0,0.0
T16544,89,0,0.0
T16545,17,0,0.0
T16546,15,0,0.0
T16565,31,0,0.0
T16567,37,0,0.0
T16579,175,0,0.0
T16582,491,0,0.0
T16588,220,0,0.0
T16590,56,0,0.0
T16597,494,0,0.0
T16602,337,0,0.0
T16603,484,0,0.0
T16606,48,0,0.0
T16607,70,0,0.0
T16616,12,0,0.0
T16621,2,0,0.0
T16639,156,0,0.0
T16646,538,0,0.0
T16649,22,0,0.0
T16658,1,0,0.0
T16660,3,0,0.0
T16667,1,0,0.0
T16677,1,0,0.0
T16695,2,0,0.0
T16696,99,0,0.0
T16698,12,0,0.0
T16716,158,0,0.0
