CD_CLIENTE,cluster,RECOMENDACOES
T03085,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T02855,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03108,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03067,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, SMS FULL TOTVS TRAD"
T03120,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T03360,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03193,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03367,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS USUARIO RETAGUARDA WT"
T03201,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T03133,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T03268,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03459,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS TOTVS I TRAD"
T03491,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03211,3,"SMS FULL TOTVS TRAD, CDU FULL TOTVS TRAD, SMS USUARIO RETAGUARDA WT"
T03306,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03439,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03231,0,"SMS USUARIO RETAGUARDA WT, USUARIO RETAGUARDA WT, TOTVS TEC USER"
T03213,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03456,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T03116,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03510,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T03314,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T03585,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03356,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T03485,3,"SMS USUARIO RETAGUARDA WT, CONSINCO NF-E POR CNPJ SUBSC., SMS LGT G. CAP HUMANO TRAD"
T03309,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03063,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03524,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03372,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T03558,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03607,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
T03378,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, PROG OPED STUDIO ND USR MNT"
T03644,3,"SMS TOTVS TEC USER, TOTVS TEC USER, SMS TOTVS I TRAD"
T03415,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T03455,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, CDU CORP TOTVS MANUFATURA RB2"
T03718,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT FINANCEIRO TRAD, SMS LGT COMPRAS E SUPRIM TRAD"
T03450,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T03799,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T03436,3,"SMS TOTVS I TRAD, CDU TOTVS I TRAD, SMS USUARIO RETAGUARDA WT"
T03752,1,"CDU CORP TOTVS CONSTRUCAO RB2, SMS LGT COMPRAS E SUPRIM TRAD, CDU CORP ADIC MNT ATIVOS PARC"
T03154,2,"TEF INTEGRADOR CLOUD ADICIONAL, TEF INTEGRADOR CLOUD PRINCIPAL, TOTVS TEC USER"
